date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,LeapYear
2009-03-01,0.711127004235269,0.507947860168049,-0.492052139831951,-0.492052139831951,-0.187283423731122,-0.492052139831951,-7.105427357601e-15
2009-04-01,-0.711127004235269,-0.507947860168049,0.492052139831951,0.492052139831951,-0.812716576268879,-0.507947860168049,3.5527136788005e-15
2009-05-01,-1.42857142857143,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,0.285714285714286,1.06581410364015e-14
2009-06-01,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
2009-07-01,0,0,1,1,1,0,-7.105427357601e-15
2009-08-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2009-09-01,0,1,1,0,0,0,3.5527136788005e-15
2009-10-01,0,0,0,1,1,1,-7.105427357601e-15
2009-11-01,0.571428571428571,-0.714285714285714,-1.71428571428571,-0.714285714285714,-0.714285714285714,-0.714285714285714,7.105427357601e-15
2009-12-01,-8.88178419700125e-16,1,1,-1,-1,-1,-1.06581410364015e-14
2010-01-01,-1,-1,-1,-1,-1,-2.22044604925031e-16,7.105427357601e-15
2010-02-01,0,0,0,0,0,0,-0.249999999999996
2010-03-01,1.71112700423527,1.50794786016805,1.50794786016805,0.507947860168049,0.812716576268878,0.507947860168049,-7.105427357601e-15
2010-04-01,-0.711127004235269,-0.507947860168049,-0.507947860168049,0.492052139831951,0.187283423731121,-0.507947860168049,3.5527136788005e-15
2010-05-01,0.571428571428571,-1.71428571428571,-0.714285714285714,-0.714285714285714,-0.714285714285714,-0.714285714285714,1.06581410364015e-14
2010-06-01,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,-2.22044604925031e-16,1.06581410364015e-14
2010-07-01,0,0,0,1,1,1,-7.105427357601e-15
2010-08-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2010-09-01,0,0,1,1,0,0,3.5527136788005e-15
2010-10-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2010-11-01,1.57142857142857,1.28571428571429,0.285714285714286,-0.714285714285714,0.285714285714286,0.285714285714286,7.105427357601e-15
2010-12-01,1,1,2,2,-8.88178419700125e-16,-8.88178419700125e-16,-1.06581410364015e-14
2011-01-01,-2.22044604925031e-16,-1,-1,-1,-1,-1,7.105427357601e-15
2011-02-01,0,0,0,0,0,0,-0.249999999999996
2011-03-01,0.711127004235269,1.50794786016805,1.50794786016805,1.50794786016805,0.812716576268878,0.507947860168049,-7.105427357601e-15
2011-04-01,-0.711127004235269,-0.507947860168049,-0.507947860168049,-0.507947860168049,0.187283423731121,0.492052139831951,3.5527136788005e-15
2011-05-01,1.57142857142857,1.28571428571429,-0.714285714285714,0.285714285714286,0.285714285714286,0.285714285714286,1.06581410364015e-14
2011-06-01,-2.22044604925031e-16,-2.22044604925031e-16,1,-2.22044604925031e-16,-1,-2.22044604925031e-16,1.06581410364015e-14
2011-07-01,-1,-1,-1,-1,0,0,-7.105427357601e-15
2011-08-01,1,1,1,0,0,0,-7.105427357601e-15
2011-09-01,0,0,0,1,1,0,3.5527136788005e-15
2011-10-01,0,-1,-1,-1,-1,0,-7.105427357601e-15
2011-11-01,0.571428571428571,1.28571428571429,1.28571428571429,0.285714285714286,-0.714285714285714,0.285714285714286,7.105427357601e-15
2011-12-01,-8.88178419700125e-16,1,1,2,2,-8.88178419700125e-16,-1.06581410364015e-14
2012-01-01,1,1,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,-2.22044604925031e-16,7.105427357601e-15
2012-02-01,0,0,1,0,0,0,0.750000000000004
2012-03-01,0.711127004235269,0.507947860168049,0.507947860168049,1.50794786016805,1.81271657626888,1.50794786016805,-7.105427357601e-15
2012-04-01,-0.711127004235269,-1.50794786016805,-1.50794786016805,-1.50794786016805,-1.81271657626888,-1.50794786016805,3.5527136788005e-15
2012-05-01,0.571428571428571,0.285714285714286,1.28571428571429,1.28571428571429,-0.714285714285714,0.285714285714286,1.06581410364015e-14
2012-06-01,1,1,1,1,2,1,1.06581410364015e-14
2012-07-01,0,0,-1,-1,-1,-1,-7.105427357601e-15
2012-08-01,0,0,1,1,1,0,-7.105427357601e-15
2012-09-01,-1,-1,-1,-1,-1,0,3.5527136788005e-15
2012-10-01,1,1,1,0,0,0,-7.105427357601e-15
2012-11-01,-0.428571428571429,0.285714285714286,0.285714285714286,1.28571428571429,1.28571428571429,0.285714285714286,7.105427357601e-15
2012-12-01,-2,-2,-2,-1,-1,-8.88178419700125e-16,-1.06581410364015e-14
